mu,n,m,alpha,mutation_operator,diversity_threshold,diversity_operator,generations,max_generations,diversity,fitness,opt,starting_robustness,ending_robustness,generation_ratio
2,5,1,0.6,1RAI,1.0,sum,5.76,100.0,1.0,0.4,0.02,0.22,0.34,0.0576
2,5,1,0.6,XRAI_0.10,0.0,eucl,0.0,100.0,0.0,0.02,0.02,0.22,0.22,0.0
2,5,1,0.6,XRAI_0.10,0.0,sum,0.0,100.0,0.0,0.02,0.02,0.22,0.22,0.0
2,5,1,0.6,XRAI_0.10,0.05,eucl,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.05,sum,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.1,eucl,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.1,sum,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.15,eucl,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.15,sum,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.2,eucl,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.2,sum,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.25,eucl,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.25,sum,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.3,eucl,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.3,sum,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.35,eucl,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.35,sum,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.4,eucl,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
2,5,1,0.6,XRAI_0.10,0.4,sum,1.3,100.0,0.524,0.02,0.02,0.22,0.34,0.013000000000000001
