seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
93,2,15,1,0.3,1,9,900,0.8,4,3,XRAI_0.10,1,1,sum,0.8
63,2,10,1,0.3,1,1,400,0.3,0,0,XRAI_0.10,1,1,sum,0.1
4319,2,50,1,1,9,30,10000,0.8,45,24,XRAI_0.10,0,0,sum,0.8
63,2,10,1,0.3,1,1,400,0.3,0,0,XRAI_0.10,1,1,sum,0.25
93,2,15,1,0.3,1,12,900,0.866667,5,3,XRAI_0.10,1,1,sum,0.85
9235,2,25,3,0.6,19,9,2500,0.52,15,8,XRAI_0.10,0,0,sum,0.5
2031,10,10,1,1,10,57,10000,0.902222,2,2,XRAI_0.10,1,1,sum,0.9
305,5,10,1,0.3,2,46,2500,0.95,2,1,XRAI_0.10,0,1,sum,0.95
126,2,25,1,0.3,0,104,2500,0.96,14,10,XRAI_0.10,0,0,sum,0.95
50,2,5,1,0.3,2,6,100,0.8,0,0,XRAI_0.10,0,0,sum,0.75
467,5,5,1,1,8,119,625,0.96,2,0,XRAI_0.10,1,0,sum,0.95
50,2,5,1,0.3,2,6,100,0.8,0,0,XRAI_0.10,0,0,sum,0.8
16450,5,25,5,0.3,25,114,15625,0.856,7,0,XRAI_0.10,0,0,sum,0.85
14173,5,50,3,0.6,16,31,62500,0.51,21,16,XRAI_0.10,0,0,sum,0.5
50,2,5,1,0.3,2,15,100,1,0,0,XRAI_0.10,0,1,sum,0.85
9235,2,25,3,0.6,19,14,2500,0.68,16,8,XRAI_0.10,0,0,sum,0.65
50,2,5,1,0.3,2,15,100,1,0,0,XRAI_0.10,1,1,sum,0.9
9235,2,25,3,0.6,19,15,2500,0.76,16,8,XRAI_0.10,0,0,sum,0.75
50,2,5,1,0.3,2,15,100,1,0,0,XRAI_0.10,1,1,sum,0.95
93,2,15,1,0.3,1,18,900,0.933333,5,3,XRAI_0.10,1,1,sum,0.9
1764,10,15,1,0.3,4,52,22500,0.768889,3,1,XRAI_0.10,0,1,sum,0.75
10396,2,15,5,0.3,26,35,900,0.933333,4,0,XRAI_0.10,0,0,sum,0.9
4319,2,50,1,1,9,38,10000,0.86,46,24,XRAI_0.10,0,0,sum,0.85
31663,10,50,5,0.3,23,11,250000,0.106667,7,7,XRAI_0.10,0,0,sum,0.1
1764,10,15,1,0.3,4,54,22500,0.805926,3,1,XRAI_0.10,1,1,sum,0.8
93,2,15,1,0.3,1,37,900,1,6,3,XRAI_0.10,1,0,sum,0.95
63,2,10,1,0.3,1,3,400,0.4,0,0,XRAI_0.10,1,1,sum,0.4
93,2,15,1,0.3,1,37,900,1,6,3,XRAI_0.10,0,0,sum,1
4319,2,50,1,1,9,46,10000,0.92,46,24,XRAI_0.10,0,0,sum,0.9
63,2,10,1,0.3,1,4,400,0.5,0,0,XRAI_0.10,1,1,sum,0.5
10396,2,15,5,0.3,26,52,900,1,4,0,XRAI_0.10,0,0,sum,0.95
140,2,15,1,0.3,2,0,900,0,1,1,XRAI_0.10,1,1,sum,0
10396,2,15,5,0.3,26,52,900,1,4,0,XRAI_0.10,0,0,sum,1
140,2,15,1,0.3,2,1,900,0.2,1,1,XRAI_0.10,1,1,sum,0.1
63,2,10,1,0.3,1,14,400,0.7,0,0,XRAI_0.10,1,1,sum,0.65
140,2,15,1,0.3,2,4,900,0.266667,2,1,XRAI_0.10,1,1,sum,0.25
126,2,25,1,0.3,0,137,2500,1,14,10,XRAI_0.10,0,0,sum,1
305,5,10,1,0.3,2,117,2500,1,1,1,XRAI_0.10,1,1,sum,1
9235,2,25,3,0.6,19,18,2500,0.8,16,8,XRAI_0.10,0,0,sum,0.8
50,2,5,1,0.3,2,15,100,1,0,0,XRAI_0.10,1,1,sum,1
63,2,10,1,0.3,1,16,400,0.9,1,0,XRAI_0.10,1,1,sum,0.75
1764,10,15,1,0.3,4,71,22500,0.854815,3,1,XRAI_0.10,1,1,sum,0.85
63,2,10,1,0.3,1,16,400,0.9,1,0,XRAI_0.10,1,1,sum,0.8
140,2,15,1,0.3,2,5,900,0.466667,2,1,XRAI_0.10,1,1,sum,0.4
63,2,10,1,0.3,1,16,400,0.9,1,0,XRAI_0.10,1,1,sum,0.85
153,2,25,1,0.3,1,0,2500,0,10,10,XRAI_0.10,0,0,sum,0
77,2,5,1,0.3,3,0,100,0,0,0,XRAI_0.10,0,0,sum,0
357,5,10,1,0.3,3,0,2500,0,0,0,XRAI_0.10,1,1,sum,0
14173,5,50,3,0.6,16,56,62500,0.65,24,16,XRAI_0.10,0,0,sum,0.65
153,2,25,1,0.3,1,1,2500,0.12,10,10,XRAI_0.10,0,0,sum,0.1
9235,2,25,3,0.6,19,28,2500,0.92,16,8,XRAI_0.10,0,0,sum,0.85
357,5,10,1,0.3,3,1,2500,0.12,0,0,XRAI_0.10,1,1,sum,0.1
153,2,25,1,0.3,1,5,2500,0.32,11,10,XRAI_0.10,0,0,sum,0.25
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_0.10,0,1,sum,0.1
9235,2,25,3,0.6,19,28,2500,0.92,16,8,XRAI_0.10,0,0,sum,0.9
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_0.10,1,1,sum,0.25
9235,2,25,3,0.6,19,29,2500,0.96,16,8,XRAI_0.10,0,0,sum,0.95
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_0.10,1,1,sum,0.4
153,2,25,1,0.3,1,6,2500,0.4,11,10,XRAI_0.10,0,0,sum,0.4
357,5,10,1,0.3,3,4,2500,0.35,0,0,XRAI_0.10,1,1,sum,0.25
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_0.10,1,1,sum,0.5
153,2,25,1,0.3,1,7,2500,0.52,12,10,XRAI_0.10,0,0,sum,0.5
