seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
9235,2,25,3,0.6,19,13,2500,0.84,15,8,1RAI,0,0,eucl,0.8
4319,2,50,1,1,9,42,10000,0.96,29,24,1RAI,0,0,eucl,0.95
11197,2,15,5,0.3,27,8,900,0.666667,2,0,1RAI,0,0,eucl,0.65
1764,10,15,1,0.3,4,53,22500,0.757788,3,1,1RAI,0,0,eucl,0.75
9235,2,25,3,0.6,19,15,2500,0.88,15,8,1RAI,0,0,eucl,0.85
26,2,5,1,0.3,0,7,100,1,0,0,1RAI,1,1,eucl,1
11197,2,15,5,0.3,27,10,900,0.8,2,0,1RAI,0,0,eucl,0.75
93,2,15,1,0.3,1,0,900,0,3,3,1RAI,0,0,eucl,0
11197,2,15,5,0.3,27,10,900,0.8,2,0,1RAI,0,0,eucl,0.8
93,2,15,1,0.3,1,1,900,0.2,3,3,1RAI,0,0,eucl,0.1
311,2,10,1,0.3,5,3,400,0.4,1,1,1RAI,0,0,eucl,0.25
429,5,10,1,0.3,4,18,2500,0.767621,1,0,1RAI,0,1,eucl,0.75
16450,5,25,5,0.3,25,414,15625,0.95101,6,0,1RAI,0,0,eucl,0.95
311,2,10,1,0.3,5,3,400,0.4,1,1,1RAI,0,0,eucl,0.4
467,5,5,1,1,8,9,625,0.67751,0,0,1RAI,1,1,eucl,0.65
93,2,15,1,0.3,1,3,900,0.333333,4,3,1RAI,0,0,eucl,0.25
311,2,10,1,0.3,5,4,400,0.5,1,1,1RAI,0,0,eucl,0.5
429,5,10,1,0.3,4,31,2500,0.826795,1,0,1RAI,1,1,eucl,0.8
311,2,10,1,0.3,5,5,400,0.8,1,1,1RAI,0,0,eucl,0.65
11197,2,15,5,0.3,27,12,900,0.866667,2,0,1RAI,0,0,eucl,0.85
93,2,15,1,0.3,1,4,900,0.533333,4,3,1RAI,0,0,eucl,0.4
467,5,5,1,1,8,15,625,0.780911,1,0,1RAI,1,1,eucl,0.75
