seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
14173,5,50,3,0.6,16,11,62500,0.422,23,16,XRAI_1.00,0,0,sum,0.4
16450,5,25,5,0.3,25,27,15625,0.66,1,0,XRAI_1.00,0,0,sum,0.65
93,2,15,1,0.3,1,1,900,0.2,3,3,XRAI_1.00,0,0,sum,0.1
153,2,25,1,0.3,1,1,2500,0.28,10,10,XRAI_1.00,0,0,sum,0.25
4319,2,50,1,1,9,18,10000,0.92,39,24,XRAI_1.00,0,0,sum,0.9
93,2,15,1,0.3,1,3,900,0.333333,3,3,XRAI_1.00,0,0,sum,0.25
153,2,25,1,0.3,1,3,2500,0.4,10,10,XRAI_1.00,0,0,sum,0.4
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,1,0,sum,0.65
63,2,10,1,0.3,1,4,400,0.8,0,0,XRAI_1.00,1,1,sum,0.8
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,sum,0.75
93,2,15,1,0.3,1,5,900,0.6,3,3,XRAI_1.00,0,0,sum,0.4
14173,5,50,3,0.6,16,14,62500,0.518,25,16,XRAI_1.00,0,0,sum,0.5
16450,5,25,5,0.3,25,43,15625,0.752,4,0,XRAI_1.00,0,0,sum,0.75
93,2,15,1,0.3,1,5,900,0.6,3,3,XRAI_1.00,0,0,sum,0.5
467,5,5,1,1,8,80,625,0.96,1,0,XRAI_1.00,1,1,sum,0.95
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,sum,0.8
93,2,15,1,0.3,1,11,900,0.733333,3,3,XRAI_1.00,0,0,sum,0.65
1764,10,15,1,0.3,4,39,22500,0.811852,3,1,XRAI_1.00,1,1,sum,0.8
93,2,15,1,0.3,1,16,900,0.8,4,3,XRAI_1.00,0,0,sum,0.75
16450,5,25,5,0.3,25,49,15625,0.812,4,0,XRAI_1.00,0,0,sum,0.8
93,2,15,1,0.3,1,16,900,0.8,4,3,XRAI_1.00,0,0,sum,0.8
4319,2,50,1,1,9,27,10000,0.98,41,24,XRAI_1.00,0,0,sum,0.95
93,2,15,1,0.3,1,17,900,0.866667,4,3,XRAI_1.00,0,0,sum,0.85
153,2,25,1,0.3,1,5,2500,0.52,11,10,XRAI_1.00,0,0,sum,0.5
63,2,10,1,0.3,1,6,400,0.9,2,0,XRAI_1.00,1,1,sum,0.85
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,sum,0.85
2031,10,10,1,1,10,32,10000,0.902222,2,2,XRAI_1.00,1,1,sum,0.9
