seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
2124,2,15,1,0.3,4,8,900,1,3,1,XRAI_1.50,1,1,eucl,1
1118,2,5,1,0.3,6,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.75
10089,5,10,1,1,9,15,2500,0.855086,0,0,XRAI_1.50,1,1,eucl,0.85
1118,2,5,1,0.3,6,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.85
2711,2,15,1,0.3,5,4,900,0.466667,2,2,XRAI_1.50,0,0,eucl,0.25
3127,2,30,1,0.3,3,28,3600,0.866667,15,9,XRAI_1.50,0,0,eucl,0.85
1118,2,5,1,0.3,6,1,100,1,0,0,XRAI_1.50,0,0,eucl,1
2711,2,15,1,0.3,5,5,900,0.666667,3,2,XRAI_1.50,0,0,eucl,0.5
1047,2,10,1,0.3,3,23,400,1,2,1,XRAI_1.50,0,0,eucl,1
76473,2,30,3,1,21,20,3600,0.866667,23,16,XRAI_1.50,0,0,eucl,0.85
171755,2,50,1,1,27,11,10000,0.76,31,24,XRAI_1.50,0,0,eucl,0.75
124693,5,50,5,0.6,28,48,62500,0.852487,40,32,XRAI_1.50,0,0,eucl,0.85
1419,2,10,1,0.3,4,1,400,0.3,0,0,XRAI_1.50,0,0,eucl,0.25
76473,2,30,3,1,21,24,3600,1,23,16,XRAI_1.50,0,0,eucl,1
1335,2,5,1,0.3,7,2,100,0.6,0,0,XRAI_1.50,0,0,eucl,0.25
2711,2,15,1,0.3,5,14,900,0.8,5,2,XRAI_1.50,0,0,eucl,0.75
1335,2,5,1,0.3,7,2,100,0.6,0,0,XRAI_1.50,0,0,eucl,0.5
8095,10,10,5,0.6,10,91,10000,0.851676,5,3,XRAI_1.50,1,1,eucl,0.85
80767,2,30,3,1,22,1,3600,0.366667,13,13,XRAI_1.50,0,0,eucl,0.25
171755,2,50,1,1,27,16,10000,0.86,37,24,XRAI_1.50,0,0,eucl,0.85
1419,2,10,1,0.3,4,3,400,0.9,1,0,XRAI_1.50,0,0,eucl,0.5
80767,2,30,3,1,22,2,3600,0.533333,13,13,XRAI_1.50,0,0,eucl,0.5
1419,2,10,1,0.3,4,3,400,0.9,1,0,XRAI_1.50,0,0,eucl,0.75
30037,2,15,5,1,17,1,900,0.333333,7,7,XRAI_1.50,0,0,eucl,0.25
2711,2,15,1,0.3,5,16,900,1,5,2,XRAI_1.50,0,0,eucl,0.85
1335,2,5,1,0.3,7,3,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.75
30037,2,15,5,1,17,2,900,0.666667,8,7,XRAI_1.50,0,0,eucl,0.5
2711,2,15,1,0.3,5,16,900,1,5,2,XRAI_1.50,0,0,eucl,1
1335,2,5,1,0.3,7,4,100,1,0,0,XRAI_1.50,0,1,eucl,0.85
1419,2,10,1,0.3,4,3,400,0.9,1,0,XRAI_1.50,0,0,eucl,0.85
80767,2,30,3,1,22,8,3600,0.8,20,13,XRAI_1.50,0,0,eucl,0.75
1419,2,10,1,0.3,4,4,400,1,1,0,XRAI_1.50,0,0,eucl,1
1335,2,5,1,0.3,7,4,100,1,0,0,XRAI_1.50,1,1,eucl,1
30037,2,15,5,1,17,4,900,0.8,8,7,XRAI_1.50,0,0,eucl,0.75
