seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
140,2,15,1,0.3,2,4,900,0.266667,2,1,XRAI_0.10,1,1,eucl,0.25
11197,2,15,5,0.3,27,19,900,0.866667,0,0,XRAI_0.10,0,0,eucl,0.85
77,2,5,1,0.3,3,2,100,0.8,0,0,XRAI_0.10,0,0,eucl,0.8
153,2,25,1,0.3,1,20,2500,0.88,13,10,XRAI_0.10,0,0,eucl,0.85
140,2,15,1,0.3,2,5,900,0.466667,2,1,XRAI_0.10,1,1,eucl,0.4
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_0.10,0,0,eucl,0.85
140,2,15,1,0.3,2,6,900,0.6,2,1,XRAI_0.10,1,1,eucl,0.5
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_0.10,0,0,eucl,0.9
11197,2,15,5,0.3,27,28,900,0.933333,2,0,XRAI_0.10,0,0,eucl,0.9
153,2,25,1,0.3,1,24,2500,0.92,13,10,XRAI_0.10,0,1,eucl,0.9
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_0.10,0,0,eucl,0.95
140,2,15,1,0.3,2,7,900,0.666667,3,1,XRAI_0.10,1,1,eucl,0.65
11197,2,15,5,0.3,27,32,900,1,2,0,XRAI_0.10,0,0,eucl,0.95
357,5,10,1,0.3,3,4,2500,0.328435,0,0,XRAI_0.10,1,1,eucl,0.25
153,2,25,1,0.3,1,35,2500,1,14,10,XRAI_0.10,1,1,eucl,0.95
11197,2,15,5,0.3,27,32,900,1,2,0,XRAI_0.10,0,0,eucl,1
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_0.10,0,0,eucl,1
51,2,10,1,0.3,0,13,400,1,4,2,XRAI_0.10,1,1,eucl,0.9
1764,10,15,1,0.3,4,53,22500,0.752145,2,1,XRAI_0.10,0,1,eucl,0.75
153,2,25,1,0.3,1,35,2500,1,14,10,XRAI_0.10,1,1,eucl,1
114,2,5,1,0.3,4,0,100,0,0,0,XRAI_0.10,0,0,eucl,0
140,2,15,1,0.3,2,10,900,0.8,4,1,XRAI_0.10,1,1,eucl,0.75
14173,5,50,3,0.6,16,45,62500,0.663488,28,16,XRAI_0.10,0,0,eucl,0.65
8306,2,25,3,0.6,18,53,2500,1,14,1,XRAI_0.10,0,0,eucl,1
140,2,15,1,0.3,2,10,900,0.8,4,1,XRAI_0.10,1,1,eucl,0.8
230,2,25,1,0.3,2,0,2500,0,4,4,XRAI_0.10,0,0,eucl,0
140,2,15,1,0.3,2,11,900,0.866667,4,1,XRAI_0.10,1,1,eucl,0.85
230,2,25,1,0.3,2,1,2500,0.12,4,4,XRAI_0.10,0,0,eucl,0.1
114,2,5,1,0.3,4,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.1
9235,2,25,3,0.6,19,0,2500,0,8,8,XRAI_0.10,0,0,eucl,0
357,5,10,1,0.3,3,5,2500,0.428161,0,0,XRAI_0.10,1,1,eucl,0.4
12028,2,15,5,0.3,28,0,900,0,0,0,XRAI_0.10,0,0,eucl,0
140,2,15,1,0.3,2,13,900,0.933333,4,1,XRAI_0.10,1,1,eucl,0.9
357,5,10,1,0.3,3,7,2500,0.546128,0,0,XRAI_0.10,1,1,eucl,0.5
51,2,10,1,0.3,0,13,400,1,4,2,XRAI_0.10,1,1,eucl,0.95
230,2,25,1,0.3,2,4,2500,0.32,5,4,XRAI_0.10,0,0,eucl,0.25
12028,2,15,5,0.3,28,1,900,0.133333,0,0,XRAI_0.10,0,0,eucl,0.1
